name,positive,negative,neutral
Box Magic,30,9,0
Brea,4,7,0
Bread and Circus,54,0,0
Breads and Banter,9,0,0
Breadworks,52,20,8
Breakfast House,1,0,0
Breaktime Brew,30,0,0
Brew Bakes,6,0,0
Brew Cafe,2,0,0
Brew Point,6,0,0
Brews N Bites,36,21,3
Brewsky,40,0,0
Brewz Coffee,10,0,0
Brimstone Cafe,31,3,0
Broadway - The Gourmet Theatre,32,5,3
Brooks 37,25,4,0
Brother?s Bar & Kitchen,1,0,0
Brown Crust Cafe,18,0,0
Brownie Heaven,55,0,0
Brownie Points,3,0,0
Brunch & Munch - Hotel Millennium Plaza,12,3,3
Bruncherz,18,0,0
Bubble Bee,9,0,0
Bubbles,48,0,0
Bubblewrap Waffle Co.,18,2,0
Buddha Treats,25,0,1
Budget Food,2,0,0
Buff Buffet Buff,95,5,0
Bufferia,32,8,0
Bufferia Express,9,5,0
Bullet Biryani,0,0,0
Bulls N Bears - Bar Trade Xchange,21,26,4
Bun Maska Chai,8,0,0
Bun Town,76,0,10
Bunny Bakers,10,2,1
Burger Crush,0,1,0
Burger Garden,12,0,0
Burger King,83,11,7
Burger Lounge,19,18,0
Burj Hotel,24,31,5
Burrito Boys,0,6,0
Butter Cup,4,0,1
Butter Side Up,6,0,0
Butterly Cafe,3,2,1
By 2 Coffee,4,0,0
By The Blue - Grand Mercure,34,4,0
Byblos,31,11,0
C K Bake & Juice,4,0,0
C Kosila Kitchen,1,2,0
C Sharp Kitchen,0,2,0
C-harge by Chefkraft,3,6,0
C. K. Mega Hot Food,15,0,0
CAMP TANDOOR,40,0,0
CHAAI BEE,3,1,0
CK's Bakery,4,2,0
Cafe 22,0,2,0
Cafe 221B,5,5,0
Cafe 58,2,0,0
Cafe @ Elanza,17,3,0
Cafe Aira,4,0,1
Cafe Ajfan,20,0,0
Cafe Aladdin,17,3,0
Cafe Alchemist,3,0,0
Cafe Arabica,5,0,4
Cafe Azzure,20,0,0
Cafe Bollywood,2,0,0
Cafe Braqa,54,3,0
Cafe Cassia& Deli,12,0,0
Cafe Cerrise,0,0,7
Cafe Choco Craze,12,0,0
Cafe Coffee Day,46,18,3
Cafe Coffee Day The Lounge,2,2,0
Cafe Coffee Day The Square,12,0,0
Cafe Cosy,12,0,0
Cafe Crumb'z,0,0,0
Cafe D'Costa,13,1,1
Cafe D'hide,76,4,0
Cafe Fattoush,27,6,0
Cafe Graffiters,56,0,0
Cafe Grill,20,0,0
Cafe HIGHRANGERS,6,0,0
Cafe Hush,8,0,0
Cafe Idly,11,9,2
Cafe Iftar,2,0,0
Cafe Imroze,18,6,0
Cafe Jezve,3,0,0
